Brand,Description,link,pricewas,pricenow
APPLE,IPAD 10.2-INCH WIFI+CELL 128GB SPACE GREY (7TH GEN) MW6E2X/A,https://www.davidjones.com/brand/apple/23047696/iPad-10.2-inch-WiFi+Cell-128GB-Space-Grey-(7th-Gen)-MW6E2X%7CA.html,$889.00,$889.00
APPLE,IPAD 10.2-INCH WI-FI+CELL 32GB SPACE GREY (7TH GEN) MW6A2X/A,https://www.davidjones.com/brand/apple/23047693/iPad-10.2-inch-Wi-Fi+Cell-32GB-Space-Grey-(7th-Gen)-MW6A2X%7CA.html,$729.00,$729.00
APPLE,IPAD 10.2-INCH WI-FI 128GB SPACE GREY (7TH GEN) MW772X/A,https://www.davidjones.com/brand/apple/23047690/iPad-10.2-inch-Wi-Fi-128GB-Space-Grey-(7th-Gen)-MW772X%7CA.html,$689.00,$689.00
APPLE,IPAD 10.2-INCH WI-FI 32GB SPACE GREY (7TH GEN) MW742X/A,https://www.davidjones.com/brand/apple/23047687/iPad-10.2-inch-Wi-Fi-32GB-Space-Grey--(7th-Gen)--MW742X%7CA.html,$529.00,$529.00
APPLE,WATCH S5 GPS 44MM SPACE GREY ALUMINIUM BLACK SPORT BAND,https://www.davidjones.com/brand/apple/23016529/Watch-S5-GPS-44mm-Space-Grey-Aluminium-Black-Sport-Band.html,$699.00,$699.00
APPLE,WATCH S5 GPS 40MM SPACE GREY ALUMINIUM BLACK SPORT BAND,https://www.davidjones.com/brand/apple/23016526/Watch-S5-GPS-40mm-Space-Grey-Aluminium-Black-Sport-Band.html,$649.00,$649.00
APPLE,WATCH S5 GPS + CELL 44MM SPACE GREY ALUMINIUM BLACK BAND,https://www.davidjones.com/brand/apple/23016532/Watch-S5-GPS-+-CELL-44mm-Space-Grey-Aluminium-Black-Band.html,$849.00,$849.00
APPLE,WATCH S5 GPS + CELL 44MM GOLD ALUMINIUM PINK SPORT BAND,https://www.davidjones.com/brand/apple/23016531/Watch-S5-GPS-+-CELL-44mm-Gold-Aluminium-Pink-Sport-Band.html,$849.00,$849.00
APPLE,WATCH S5 GPS + CELL 40MM GOLD ALUMINIUM PINK SAND SPORT BAND,https://www.davidjones.com/brand/apple/23016540/Watch-S5-GPS-+-CELL-40mm-Gold-Aluminium-Pink-Sand-Sport-Band.html,$799.00,$799.00
APPLE,WATCH S4 GPS + CELL 44MM GOLD S/STEEL W/STONE S/BAND,https://www.davidjones.com/brand/apple/22210823/WATCH-S4-GPS-+-CELL-44MM-GOLD-S%7CSTEEL-W%7CSTONE-S%7CBAND.html,"RRP
$997.00","OUR PRICE
$897.00"
